EventID , Time , Latitude , Longitude , Depth/km , Author , Catalog , Contributor , ContributorID , MagType , Magnitude , MagAuthor , EventLocationName
11701415,2023-05-02T22:56:27,-5.1958,102.42,37.689,us,NEIC PDE,us,us6000kael,mb,4.5,us,"SOUTHERN SUMATRA, INDONESIA"
11703266,2023-05-14T05:27:32,-4.7487,101.9337,35,us,NEIC PDE,us,us6000kcvl,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11699956,2023-05-24T04:07:43,-0.7925,98.4861,21.641,us,NEIC PDE,us,us7000k3ef,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11702147,2023-05-31T00:58:41,-0.8752,98.673,21.087,us,NEIC PDE,us,us7000k54v,mb,5.1,us,"SOUTHERN SUMATRA, INDONESIA"
11703186,2023-06-01T23:47:58,-3.7795,101.4329,48.194,us,NEIC PDE,us,us7000k5n4,mb,4.2,us,"SOUTHERN SUMATRA, INDONESIA"
11706864,2023-06-09T17:17:29,-1.2003,98.2138,10,us,NEIC PDE,us,us7000k7gk,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11707263,2023-06-10T15:07:45,-5.5068,104.2986,78.3,us,NEIC PDE,us,us7000k7n9,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11707439,2023-06-11T06:36:19,-5.6791,102.9252,33.357,us,NEIC PDE,us,us7000k7s1,mb,4.8,us,"SOUTHERN SUMATRA, INDONESIA"
11707748,2023-06-12T09:08:39,-5.6763,104.1248,72.959,us,NEIC PDE,us,us7000k7y6,mb,4.9,us,"SOUTHERN SUMATRA, INDONESIA"
11710886,2023-06-20T07:44:51,-0.9635,98.4661,18.978,us,NEIC PDE,us,us7000k9te,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11710891,2023-06-20T08:39:17,-0.9749,98.6065,19.709,us,NEIC PDE,us,us7000k9ti,Mww,5.5,us,"SOUTHERN SUMATRA, INDONESIA"
